id,province,party,title,firstName,lastName,sex,age,occupation,highestEducation,vote,votePercent,rank
840705,84,11,นาย,มนตรี,  เพชรขุ้ม,M,61,ธุรกิจส่วนตัว,ปริญญาโท,5197,5.71847,5
840706,84,29,นาย,ศุรุท,  เกษมณีภูรเดช,M,58,ธุรกิจส่วนตัว,ปริญญาโท,3023,3.32633,6
840707,84,37,นาย,มนู,  วณิชชานนท์,M,65,นักกฎหมาย,ปริญญาโท,5950,6.54702,4
840708,84,31,นาย,ชาติพงศ์,  กุลรัตน์,M,48,ธุรกิจส่วนตัว,ปริญญาตรี,20219,22.24777,2
840709,84,26,นางสาว,ตวงทอง,  ประดิษฐพร,F,30,สมาชิกสภาองค์การบริหารส่วนจังหวัด,ปริญญาตรี,14668,16.13979,3
840710,84,25,นาย,สมชาย,  ไชยยศ,M,63,นักการเมือง,ปริญญาตรี,496,0.54577,10
840711,84,61,นางสาว,จิดาภา,  มือเพ็ชร,F,43,นักธุรกิจ,ปริญญาตรี,158,0.17385,12
840712,84,30,นางสาว,สุนิสา,  นาคประดิษฐ์,F,56,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,315,0.34661,11
320101,32,21,นางสาว,นรีนุช,  ปานทอง,F,36,นักธุรกิจ,ปริญญาตรี,829,0.82625,7
320102,32,7,นาย,ปกรณ์,  มุ่งเจริญพร,M,58,เกษตรกร,ปริญญาตรี,36305,36.18451,1
320103,32,26,นาย,วิภูษิต,  มีสิทธิ์,M,39,ทนายความ,ปริญญาตรี,1547,1.54187,5
320104,32,29,นาย,อนันต์,  ปาลีคุปต์,M,30,ธุรกิจส่วนตัว,ปริญญาตรี,24094,24.01403,3
320105,32,32,นาย,อนุกูล,  ทรายเพชร,M,35,ผู้อำนวยการกลุ่มเส้นด้าย,ปริญญาตรี,419,0.41761,9
320106,32,25,นาย,วิโรจน์,  ดีใจ,M,66,ข้าราชการบำนาญ,ปริญญาโท,400,0.39867,10
320107,32,31,นาย,เบญจมินทร์,  ปันสน,M,27,นักวางแผนผังเมือง นักวิจัย นักวิชาการด้านการพัฒนาเมือง,ปริญญาโท,26047,25.96055,2
320108,32,22,ว่าที่ร้อยตรี,ศักดินันท์,  ศุภนิมิตรมนตรี,M,32,นักธุรกิจ,ปริญญาตรี,2690,2.68107,4
320109,32,37,นาย,อนุรัตน์,  ศรีสุรินทร์,M,34,นักธุรกิจ,ปริญญาตรี,1410,1.40532,6
320110,32,5,นาย,พิเชษฐ,  หล่าบรรเทา,M,52,ทนายความ,ปริญญาตรี,70,0.06977,13
320111,32,2,นาง,จำนงค์,  ฤทธิรณ,F,62,ประกอบธุรกิจส่วนตัว,ปริญญาตรี,123,0.12259,12
